1,44004,-70.433,38.484,Cape May,1977,2008
2,44005,-69.128,43.204,Gulf of Maine,1978,
3,44008,-69.247,40.502,Nantucket,1982,
4,44009,-74.703,38.461,Delaware Bay,1984,
5,44011,-66.619,41.098,Georges Bank,1984,
6,44014,-74.842,36.611,Chesapeake Bay,1990,
7,44017,-72.048,40.694,Montauk Point,2002,
8,44020,-70.187,41.443,Nantucket Sound,2009,
9,44025,-73.167,40.25,Long Island,1975,
10,44027,-67.307,44.287,Jonesport Maine,2003,
11,44065,-73.703,40.369,Old Ambrose,2008,
12,44066,-72.6,39.584,Texas Tower,2009,
13,44091,-73.769,39.778,Barnegat,2014,
14,44097,-71.117,40.981,Block Island,2009,
15,alsn6,-73.8,40.45,Ambrose Light,1984,2008
16,chlv2,-75.713,36.905,Chesapeake Light,1984,
17,ocim2,-75.091,38.328,Ocean City Inlet,2008,
18,brbn4,-74.2,39.61,Brant Beach,2004,2011
